Task;ExecutionTime (seconds);Items Processed;TimePerItem (seconds);Comment
Create Collections;0.3388652801513672;;;
Graph Analysis;1.6282715797424316;;;
Class Tree Generation;4.264606475830078;25;0.17058425903320312;
Void stats generation;0.0395510196685791;25;0.0015820407867431642;
HTML Generation;85.10667204856873;11883;0.007162052684386832;
Finalize Classtree;0.003744363784790039;;;
NonNS Pages;1.1621575355529785;591;0.001966425610072722;
Index Page Creation;1.5358705520629883;;;
CKAN API Generation;0.12052321434020996;;;
Solid API Generation;2.013410806655884;;;
OGC API Features Generation;2.8967318534851074;;;
Total;99.11040472984314;;;
